name,xml_name,cas,smiles
Cyantraniliprole,Cyantraniliprole,736994-63-1,CC1=CC(=CC(=C1NC(=O)C2=CC(=NN2C3=C(C=CC=N3)Cl)Br)C(=O)NC)C#N
Cyazofamid,Cyazofamid,120116-88-3,CC1=CC=C(C=C1)C2=C(N=C(N2S(=O)(=O)N(C)C)C#N)Cl
Cyclanilide,Cyclanilide  (F),113136-77-9,C1CC1(C(=O)NC2=C(C=C(C=C2)Cl)Cl)C(=O)O
Cyclaniliprole,Cyclaniliprole,1031756-98-5,CC(C1CC1)NC(=O)C2=C(C(=CC(=C2)Cl)Br)NC(=O)C3=CC(=NN3C4=C(C=CC=N4)Cl)Br
"Cycloxydim including degradation and reaction products which can be determined as 3-(3-thianyl)glutaric acid S-dioxide (BH 517-TGSO2) and/or 3-hydroxy-3-(3-thianyl)glutaric acid S-dioxide (BH 517-5-OH-TGSO2) or derivatives thereof, calculated in total as cycloxydim","Cycloxydim including degradation and reaction products which can be determined as 3-(3-thianyl)glutaric acid S-dioxide (BH 517-TGSO2) and/or 3-hydroxy-3-(3-thianyl)glutaric acid S-dioxide (BH 517-5-OH-TGSO2) or derivatives thereof, calculated in total as cycloxydim",,
Cydia pomonella Granulovirus (CpGV),Cydia pomonella Granulovirus (CpGV),No CAS allocated,
"Cyflufenamid (sum of cyflufenamid (Z-isomer) and its E-isomer, expressed as cyflufenamid)","Cyflufenamid (sum of cyflufenamid (Z-isomer) and its E-isomer, expressed as cyflufenamid) (R)(A)",,
Cyflumetofen,Cyflumetofen (sum of isomers),400882-07-7,CC(C)(C)C1=CC=C(C=C1)C(C#N)(C(=O)C2=CC=CC=C2C(F)(F)F)C(=O)OCCOC
Cyfluthrin (cyfluthrin including other mixtures of constituent isomers (sum of isomers)),Cyfluthrin (cyfluthrin including other mixtures of constituent isomers (sum of isomers)) (F),,
Cyhalofop-butyl,Cyhalofop-butyl,122008-85-9,CCCCOC(=O)[C@@H](C)OC1=CC=C(C=C1)OC2=C(C=C(C=C2)C#N)F
Cymoxanil,Cymoxanil,57966-95-7,CCNC(=O)NC(=O)/C(=N/OC)/C#N
Cypermethrin (cypermethrin including other mixtures of constituent isomers (sum of isomers)),Cypermethrin (cypermethrin including other mixtures of constituent isomers (sum of isomers)) (F),,
Cyproconazole,Cyproconazole (F),94361-06-5,CC(C1CC1)C(CN2C=NC=N2)(C3=CC=C(C=C3)Cl)O
Cyprodinil,Cyprodinil  (R)(F),121552-61-2,CC1=CC(=NC(=N1)NC2=CC=CC=C2)C3CC3
Cyromazine,Cyromazine,66215-27-8,C1CC1NC2=NC(=NC(=N2)N)N
"DDT (sum of p,p´-DDT, o,p´-DDT, p-p´-DDE and p,p´-TDE (DDD) expressed as DDT)","DDT (sum of p,p´-DDT, o,p´-DDT, p-p´-DDE and p,p´-TDE (DDD) expressed as DDT) (F)",,
DNOC,DNOC,534-52-1,CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-]
Dalapon,Dalapon,75-99-0,CC(C(=O)O)(Cl)Cl
"Daminozide (sum of daminozide and 1,1-dimethyl-hydrazine (UDHM), expressed as daminozide)","Daminozide (sum of daminozide and 1,1-dimethyl-hydrazine (UDHM), expressed as daminozide)",,
Deltamethrin,Deltamethrin (cis-deltamethrin) (F),52918-63-5,CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C
Denatonium benzoate,"Denatonium benzoate (sum of denatonium and its salts, expressed as denatonium benzoate)",,CC[N+](CC)(CC1=CC=CC=C1)CC(=O)NC2=C(C=CC=C2C)C.C1=CC=C(C=C1)C(=O)[O-]
Desmedipham,Desmedipham,13684-56-5,CCOC(=O)NC1=CC(=CC=C1)OC(=O)NC2=CC=CC=C2
Di-allate,Di-allate (sum of isomers) (F),2303-16-4,CC(C)N(C(C)C)C(=O)SC/C(=C/Cl)/Cl
Diammonium phosphate,Diammonium phosphate,7783-28-0,[NH4+].[NH4+].OP(=O)([O-])[O-]
Diazinon,Diazinon  (F),333-41-5,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C
Dicamba,Dicamba,1918-00-9,COC1=C(C=CC(=C1C(=O)O)Cl)Cl
Dichlobenil,Dichlobenil,1194-65-6,C1=CC(=C(C(=C1)Cl)C#N)Cl
"Dichlorprop (Sum of dichlorprop (including dichlorprop-P), its salts, esters and conjugates, expressed as dichlorprop)","Dichlorprop (Sum of dichlorprop (including dichlorprop-P), its salts, esters and conjugates, expressed as dichlorprop) (R)",,
Dichlorvos,Dichlorvos,62-73-7,COP(=O)(OC)OC=C(Cl)Cl
Dicloran,Dicloran,99-30-9,C1=C(C=C(C(=C1Cl)N)Cl)[N+](=O)[O-]
Dicofol,"Dicofol (sum of p, p´ and o,p´ isomers) (F)",115-32-2,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)(C(Cl)(Cl)Cl)O)Cl
Didecyldimethylammonium chloride,"Didecyldimethylammonium chloride (mixture of alkyl-quaternary ammonium salts with alkyl chain lengths of C8, C10 and C12)",,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-]
Diethofencarb,Diethofencarb,87130-20-9,CCOC1=C(C=C(C=C1)NC(=O)OC(C)C)OCC
Difenacoum,Difenacoum,56073-07-5,C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)C6=CC=CC=C6
Difenoconazole,Difenoconazole,119446-68-3,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl
Diflubenzuron,Diflubenzuron  (R)(F),35367-38-5,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC=C(C=C2)Cl)F
Diflufenican,Diflufenican  (F),83164-33-4,C1=CC(=CC(=C1)OC2=C(C=CC=N2)C(=O)NC3=C(C=C(C=C3)F)F)C(F)(F)F
Difluoroacetic acid,Difluoroacetic acid (DFA),,C(C(=O)O)(F)F
Dimethachlor,Dimethachlor,50563-36-5,CC1=C(C(=CC=C1)C)N(CCOC)C(=O)CCl
Dimethenamid including other mixtures of constituent isomers including dimethenamid-P,Dimethenamid including other mixtures of constituent isomers including dimethenamid-P (sum of isomers),,
Dimethipin,Dimethipin,55290-64-7,CC1=C(S(=O)(=O)CCS1(=O)=O)C
Dimethoate,Dimethoate,60-51-5,CNC(=O)CSP(=S)(OC)OC
Dimethomorph,Dimethomorph (sum of isomers),110488-70-5,COC1=C(C=C(C=C1)C(=CC(=O)N2CCOCC2)C3=CC=C(C=C3)Cl)OC
Dimoxystrobin,Dimoxystrobin  (R)(A),149961-52-4,CC1=CC(=C(C=C1)C)OCC2=CC=CC=C2/C(=N\OC)/C(=O)NC
Diniconazole,Diniconazole (sum of isomers),,CC(C)(C)C(/C(=C\C1=C(C=C(C=C1)Cl)Cl)/N2C=NC=N2)O
"Dinocap (sum of dinocap isomers and their corresponding phenols expressed as dinocap) (Where only meptyldinocap or its corresponding phenol are detected but none of the other components constituting dinocap (including their corresponding phenols), the MRLs and residue definition of meptyldinocap are to be applied.)","Dinocap (sum of dinocap isomers and their corresponding phenols expressed as dinocap) (Where only meptyldinocap or its corresponding phenol are detected but none of the other components constituting dinocap (including their corresponding phenols), the MRLs and residue definition of meptyldinocap are to be applied.) (F)",,
Dinoseb,"Dinoseb (sum of dinoseb, its salts, dinoseb-acetate and binapacryl, expressed as dinoseb)",,CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O
Dinotefuran,Dinotefuran,165252-70-0,CN=C(NCC1CCOC1)N[N+](=O)[O-]
Dinoterb,"Dinoterb (sum of dinoterb, its salts and esters, expressed as dinoterb)",1420-07-1,CC(C)(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O
Dioxathion,Dioxathion (sum of isomers) (F),78-34-2,CCOP(=S)(OCC)SC1C(OCCO1)SP(=S)(OCC)OCC
Diphenylamine,Diphenylamine,122-39-4,C1=CC=C(C=C1)NC2=CC=CC=C2
Diquat,Diquat,85-00-7,C1C[N+]2=CC=CC=C2C3=CC=CC=[N+]31.[Br-].[Br-]
Disulfoton,"Disulfoton (sum of disulfoton, disulfoton sulfoxide and disulfoton sulfone expressed as disulfoton) (F)",298-04-4,CCOP(=S)(OCC)SCCSCC
Dithianon,Dithianon,3347-22-6,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)SC(=C(S3)C#N)C#N
Dithiocarbamates,"Dithiocarbamates (dithiocarbamates expressed as CS2, including maneb, mancozeb, metiram, propineb, thiram and ziram)",,
Diuron,Diuron,330-54-1,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl
Dodemorph,Dodemorph,1593-77-7,CC1CN(CC(O1)C)C2CCCCCCCCCCC2
Dodine,Dodine,2439-10-3,CCCCCCCCCCCCN=C(N)N.CC(=O)O
EPTC,EPTC (ethyl dipropylthiocarbamate),,CCCN(CCC)C(=O)SCC
Elemental Iron,Elemental iron,7439-89-6,[Fe]
"Emamectin B1a and its salts, expressed as emamectin B1a","Emamectin B1a and its salts, expressed as emamectin B1a (free base) (R)(F)",,
Endosulfan,Endosulfan (sum of alpha- and beta-isomers and endosulfan-sulphate expressed as endosulfan) (F),115-29-7,C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
Endrin,Endrin  (F),72-20-8,C1[C@@H]2[C@@H]3[C@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl
Epoxiconazole,Epoxiconazole  (F),133855-98-8,C1=CC=C(C(=C1)[C@@H]2[C@@](O2)(CN3C=NC=N3)C4=CC=C(C=C4)F)Cl
Equisetum arvense L.,Equisetum arvense L.,No CAS allocated,
Ethalfluralin,Ethalfluralin,55283-68-6,CCN(CC(=C)C)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
Ethametsulfuron-methyl,Ethametsulfuron-methyl,97780-06-8,CCOC1=NC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC)NC
Ethephon,Ethephon,16672-87-0,C(CCl)P(=O)(O)O
Ethion,Ethion,,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
Ethirimol,Ethirimol (R)(F)(A),23947-60-6,CCCCC1=C(N=C(NC1=O)NCC)C
Ethofumesate,"Ethofumesate (Sum of ethofumesate, 2-keto–ethofumesate, open-ring-2-keto-ethofumesate and its conjugate, expressed as ethofumesate)",26225-79-6,CCOC1C(C2=C(O1)C=CC(=C2)OS(=O)(=O)C)(C)C
Ethoprophos,Ethoprophos,13194-48-4,CCCSP(=O)(OCC)SCCC
Ethoxyquin,Ethoxyquin  (F),91-53-2,CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C
Ethoxysulfuron,Ethoxysulfuron,126801-58-9,CCOC1=CC=CC=C1OS(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC
Ethylene,Ethylene  (++),74-85-1,C=C
Ethylene oxide,Ethylene oxide (sum of ethylene oxide and 2-chloro-ethanol expressed as ethylene oxide) (F),75-21-8,C1CO1
Etofenprox,Etofenprox  (F),80844-07-1,CCOC1=CC=C(C=C1)C(C)(C)COCC2=CC(=CC=C2)OC3=CC=CC=C3
Etoxazole,Etoxazole,153233-91-1,CCOC1=C(C=CC(=C1)C(C)(C)C)C2COC(=N2)C3=C(C=CC=C3F)F
Etridiazole,Etridiazole,2593-15-9,CCOC1=NC(=NS1)C(Cl)(Cl)Cl
Extract from tea tree,Extract from Tea tree  (++),No CAS allocated,
FEN 560,FEN 560  (also called fenugreek or fenugreek seed powder),,
Famoxadone,Famoxadone  (F),131807-57-3,CC1(C(=O)N(C(=O)O1)NC2=CC=CC=C2)C3=CC=C(C=C3)OC4=CC=CC=C4
Fat distillation residues,Fat distillation residues,No CAS allocated,
Fatty acids / Lauric acid,Fatty acids / Lauric acid  (++)(+),,
Fatty acids C7-C20,Fatty acids C7-C20  (++)(+),,
Fatty acids:  Heptanoic acid,Fatty acids:  Heptanoic acid  (++)(+),,
Fatty acids:  Octanoic acid,Fatty acids:  Octanoic acid  (++)(+),,
Fatty acids:  fatty acid methyl ester,Fatty acids:  fatty acid methyl ester  (++)(+),,
Fatty acids: Decanoic acid,Fatty acids: Decanoic acid  (++)(+),,
Fatty acids: Oleic acid incl ethyloleate,Fatty acids: Oleic acid incl ethyloleate  (++)(+),,
Fatty acids: Pelargonic acid,Fatty acids: Pelargonic acid  (++)(+),,
Fatty alcohols/aliphatic alcohols,Fatty alcohols/aliphatic alcohols  (+),,
Fenamidone,Fenamidone,161326-34-7,C[C@@]1(C(=O)N(C(=N1)SC)NC2=CC=CC=C2)C3=CC=CC=C3
Fenamiphos,Fenamiphos (sum of fenamiphos and its sulphoxide and sulphone expressed as fenamiphos),,CCOP(=O)(NC(C)C)OC1=CC(=C(C=C1)SC)C
Fenarimol,Fenarimol,60168-88-9,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)(C3=CN=CN=C3)O)Cl
Fenazaquin,Fenazaquin (F),120928-09-8,CC(C)(C)C1=CC=C(C=C1)CCOC2=NC=NC3=CC=CC=C32
Fenbuconazole,Fenbuconazole (sum of constituent enantiomers),114369-43-6,C1=CC=C(C=C1)C(CCC2=CC=C(C=C2)Cl)(CN3C=NC=N3)C#N
Fenbutatin oxide,Fenbutatin oxide  (F),13356-08-6,CC(C)(C[Sn](CC(C)(C)C1=CC=CC=C1)(CC(C)(C)C2=CC=CC=C2)O[Sn](CC(C)(C)C3=CC=CC=C3)(CC(C)(C)C4=CC=CC=C4)CC(C)(C)C5=CC=CC=C5)C6=CC=CC=C6
Fenchlorphos,Fenchlorphos (sum of fenchlorphos and fenchlorphos oxon expressed as fenchlorphos),299-84-3,COP(=S)(OC)OC1=CC(=C(C=C1Cl)Cl)Cl
Fenhexamid,Fenhexamid  (F),126833-17-8,CC1(CCCCC1)C(=O)NC2=C(C(=C(C=C2)O)Cl)Cl
Fenitrothion,Fenitrothion,122-14-5,CC1=C(C=CC(=C1)OP(=S)(OC)OC)[N+](=O)[O-]
Fenoxaprop-P,Fenoxaprop-P,,C[C@H](C(=O)O)OC1=CC=C(C=C1)OC2=NC3=C(O2)C=C(C=C3)Cl
Fenoxycarb,Fenoxycarb,72490-01-8,CCOC(=O)NCCOC1=CC=C(C=C1)OC2=CC=CC=C2
Fenpicoxamid,Fenpicoxamid  (R)(F),,C[C@H]1[C@@H]([C@H](C(=O)OC[C@@H](C(=O)O1)NC(=O)C2=NC=CC(=C2OCOC(=O)C(C)C)OC)CC3=CC=CC=C3)OC(=O)C(C)C
Fenpropathrin,Fenpropathrin,39515-41-8,CC1(C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C
Fenpropidin,"Fenpropidin (sum of fenpropidin and its salts, expressed as fenpropidin) (R)(A)",67306-00-7,CC(CC1=CC=C(C=C1)C(C)(C)C)CN2CCCCC2
Fenpropimorph,Fenpropimorph (sum of isomers) (R)(F),67306-03-0,CC1CN(CC(O1)C)CC(C)CC2=CC=C(C=C2)C(C)(C)C
Fenpyrazamine,Fenpyrazamine  (F),473798-59-3,CC1=CC=CC=C1C2=C(N(N(C2=O)C(C)C)C(=O)SCC=C)N
Fenpyroximate,Fenpyroximate  (R)(F)(A),134098-61-6,CC1=NN(C(=C1/C=N/OCC2=CC=C(C=C2)C(=O)OC(C)(C)C)OC3=CC=CC=C3)C
Fenthion,"Fenthion (fenthion and its oxigen analogue, their sulfoxides and sulfone expressed as parent) (F)",55-38-9,CC1=C(C=CC(=C1)OP(=S)(OC)OC)SC
Fentin,"Fentin (fentin including its salts, expressed as triphenyltin cation) (F)",,C1=CC=C(C=C1)[Sn+](C2=CC=CC=C2)C3=CC=CC=C3
"Fenvalerate (any ratio of constituent isomers (RR, SS, RS & SR) including esfenvalerate)","Fenvalerate (any ratio of constituent isomers (RR, SS, RS & SR) including esfenvalerate) (R)(F)",,
Ferric phosphate (Iron (III) phosphate),Ferric phosphate (Iron (III) phosphate),,
Ferric pyrophosphate,Ferric pyrophosphate,10058-44-3,[O-]P(=O)([O-])OP(=O)([O-])[O-].[O-]P(=O)([O-])OP(=O)([O-])[O-].[O-]P(=O)([O-])OP(=O)([O-])[O-].[Fe+3].[Fe+3].[Fe+3].[Fe+3]
Ferric sulphate (Iron (III) sulphate),Ferric sulphate (Iron (III) sulphate) (++),,
Ferrous sulphate (Iron (II) sulphate),Ferrous sulphate (Iron (II) sulphate) (++)(+),,
Fipronil (sum fipronil + sulfone metabolite (MB46136) expressed as fipronil),Fipronil (sum fipronil + sulfone metabolite (MB46136) expressed as fipronil) (F),,
Flazasulfuron,Flazasulfuron,104040-78-0,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(C=CC=N2)C(F)(F)F)OC
Flonicamid,"Flonicamid (sum of flonicamid, TFNA and TFNG expressed as flonicamid) (R)",,C1=CN=CC(=C1C(F)(F)F)C(=O)NCC#N
Florasulam,Florasulam,145701-23-1,COC1=NC=C(C2=NC(=NN21)S(=O)(=O)NC3=C(C=CC=C3F)F)F
Florpyrauxifen-benzyl,Florpyrauxifen-benzyl,1390661-72-9,COC1=C(C=CC(=C1F)C2=NC(=C(C(=C2F)N)Cl)C(=O)OCC3=CC=CC=C3)Cl
Fluazifop-P,"Fluazifop-P (sum of all the constituent isomers of fluazifop, its esters and its conjugates, expressed as fluazifop)",83066-88-0,C[C@H](C(=O)O)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F
Fluazinam,Fluazinam  (F),79622-59-6,C1=C(C=NC(=C1Cl)NC2=C(C=C(C(=C2[N+](=O)[O-])Cl)C(F)(F)F)[N+](=O)[O-])C(F)(F)F
Flubendiamide,Flubendiamide  (F),272451-65-7,CC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)F)NC(=O)C2=C(C(=CC=C2)I)C(=O)NC(C)(C)CS(=O)(=O)C
Flucycloxuron,Flucycloxuron  (F),94050-52-9,C1CC1/C(=N\OCC2=CC=C(C=C2)NC(=O)NC(=O)C3=C(C=CC=C3F)F)/C4=CC=C(C=C4)Cl
Flucythrinate (flucythrinate including other mixtures of constituent isomers (sum of isomers)),Flucythrinate (flucythrinate including other mixtures of constituent isomers (sum of isomers)) (F),,
Fludioxonil,Fludioxonil  (R)(F),131341-86-1,C1=CC(=C2C(=C1)OC(O2)(F)F)C3=CNC=C3C#N
Flufenacet,Flufenacet (sum of all compounds containing the N fluorophenyl-N-isopropyl moiety expressed as flufenacet),,CC(C)N(C1=CC=C(C=C1)F)C(=O)COC2=NN=C(S2)C(F)(F)F
Flufenoxuron,Flufenoxuron  (F),101463-69-8,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=C(C=C(C=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)F)F
Flufenzin,Flufenzin,,
Flumequine,Flumequine,42835-25-6,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O
Flumetralin,Flumetralin  (F),62924-70-3,CCN(CC1=C(C=CC=C1Cl)F)C2=C(C=C(C=C2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
Flumioxazine,Flumioxazine,,C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F
Fluometuron,Fluometuron,2164-17-2,CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F
Fluopicolide,Fluopicolide,239110-15-7,C1=CC(=C(C(=C1)Cl)C(=O)NCC2=C(C=C(C=N2)C(F)(F)F)Cl)Cl
Fluopyram,Fluopyram  (R),658066-35-4,C1=CC=C(C(=C1)C(=O)NCCC2=C(C=C(C=N2)C(F)(F)F)Cl)C(F)(F)F
Fluoride ion,Fluoride ion,,[F-]
Fluoroglycofene,Fluoroglycofene,,C1=CC(=C(C=C1C(F)(F)F)Cl)OC2=CC(=C(C=C2)[N+](=O)[O-])C(=O)OCC(=O)O
Fluoxastrobin,Fluoxastrobin (sum of fluoxastrobin and its Z-isomer) (R),361377-29-9,CO/N=C(\C1=CC=CC=C1OC2=C(C(=NC=N2)OC3=CC=CC=C3Cl)F)/C4=NOCCO4
Flupyradifurone,Flupyradifurone,951659-40-8,C1C(=CC(=O)O1)N(CC2=CN=C(C=C2)Cl)CC(F)F
Flupyrsulfuron-methyl,Flupyrsulfuron-methyl,,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(C=CC(=N2)C(F)(F)F)C(=O)OC)OC
Fluquinconazole,Fluquinconazole  (F),136426-54-5,C1=CC2=C(C=C1F)C(=O)N(C(=N2)N3C=NC=N3)C4=C(C=C(C=C4)Cl)Cl
Flurochloridone,Flurochloridone (sum of cis- and trans- isomers) (F),61213-25-0,C1C(C(C(=O)N1C2=CC=CC(=C2)C(F)(F)F)Cl)CCl
Fluroxypyr,"Fluroxypyr (sum of fluroxypyr, its salts, its esters, and its conjugates, expressed as fluroxypyr) (R)(A)",69377-81-7,C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F
Flurprimidole,Flurprimidole,,
Flurtamone,Flurtamone,96525-23-4,CNC1=C(C(=O)C(O1)C2=CC=CC=C2)C3=CC(=CC=C3)C(F)(F)F
Flusilazole,Flusilazole  (R)(F),85509-19-9,C[Si](CN1C=NC=N1)(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F
Flutianil,Flutianil,958647-10-4,COC1=CC=CC=C1N\2CCS/C2=C(/C#N)\SC3=C(C=CC(=C3)C(F)(F)F)F
Flutolanil,Flutolanil  (R),66332-96-5,CC(C)OC1=CC=CC(=C1)NC(=O)C2=CC=CC=C2C(F)(F)F
Flutriafol,Flutriafol,76674-21-0,C1=CC=C(C(=C1)C(CN2C=NC=N2)(C3=CC=C(C=C3)F)O)F
Fluvalinate (sum of isomers) resulting from the use of tau-fluvalinate,Fluvalinate (sum of isomers) resulting from the use of tau-fluvalinate (F),,
Fluxapyroxad,Fluxapyroxad (F),907204-31-3,CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3=CC(=C(C(=C3)F)F)F
Folic acid,Folic acid  (+),59-30-3,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N
Folpet,"Folpet (sum of folpet and phtalimide, expressed as folpet) (R)",133-07-3,C1=CC=C2C(=C1)C(=O)N(C2=O)SC(Cl)(Cl)Cl
Fomesafen,Fomesafen,72178-02-0,CS(=O)(=O)NC(=O)C1=C(C=CC(=C1)OC2=C(C=C(C=C2)C(F)(F)F)Cl)[N+](=O)[O-]
Foramsulfuron,Foramsulfuron,173159-57-4,CN(C)C(=O)C1=C(C=C(C=C1)NC=O)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC
Forchlorfenuron,Forchlorfenuron,68157-60-8,C1=CC=C(C=C1)NC(=O)NC2=CC(=NC=C2)Cl
Formetanate: Sum of formetanate and its salts expressed as formetanate,Formetanate: Sum of formetanate and its salts expressed as formetanate (hydrochloride),,
Formothion,Formothion,2540-82-1,CN(C=O)C(=O)CSP(=S)(OC)OC
Fosetyl,Fosetyl,15845-66-6,CCO[P+](=O)O
Fosthiazate,Fosthiazate,98886-44-3,CCC(C)SP(=O)(N1CCSC1=O)OCC
Fructose,Fructose,57-48-7,C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O
Fuberidazole,Fuberidazole,878-19-1,C1=CC=C2C(=C1)NC(=N2)C3=CC=CO3
Furfural,Furfural,98-01-1,C1=COC(=C1)C=O
Garlic extract,Garlic extract  (++),No CAS allocated,
