xml_name,name,cas,matched
Oxadixyl,Oxadixyl,77732-09-3,True
Oxamyl,Oxamyl,23135-22-0,True
Oxasulfuron,Oxasulfuron,144651-06-9,True
Oxathiapiprolin,Oxathiapiprolin,1003318-67-9,True
Oxycarboxin,Oxycarboxin,5259-88-1,True
Oxydemeton-methyl (sum of oxydemeton-methyl and demeton-S-methylsulfone expressed as oxydemeton-methyl),Oxydemeton-methyl,301-12-2,True
Oxyfluorfen (F),Oxyfluorfen,42874-03-3,True
Paclobutrazol (sum of constituent isomers),Paclobutrazol,76738-62-0,True
Paecilomyces fumosoroseus strain FE 9901,Paecilomyces fumosoroseus strain Fe 9901,No CAS allocated,True
Paraffin oil (CAS 64742-46-7),Paraffin oil,,False
Paraffin oil (CAS 64742-54-7),Paraffin oil,,False
Paraffin oil (CAS 72623-86-0),Paraffin oil,,False
Paraffin oil (CAS 8042-47-5),Paraffin oil,,False
Paraffin oil (CAS 97862-82-3),Paraffin oil,,False
Paraquat,Paraquat,4685-14-7,True
Parathion  (F),Parathion,56-38-2,True
Parathion-methyl (sum of Parathion-methyl and paraoxon-methyl expressed as Parathion-methyl),Parathion-methyl,298-00-0,True
Pasteuria nishizawae Pn1,Pasteuria nishizawae Pn1,No CAS allocated,True
Penconazole (sum of constituent isomers) (F),Penconazole,66246-88-6,True
"Pencycuron (sum of pencycuron and pencycuron-PB-amine, expressed as pencycuron) (R)(F)(A)",Pencycuron,66063-05-6,True
Pendimethalin  (F),Pendimethalin,40487-42-1,True
Penflufen (sum of isomers) (F),Penflufen,494793-67-8,True
Penoxsulam,Penoxsulam,219714-96-2,True
Penthiopyrad (F),Penthiopyrad,183675-82-3,True
"Pepino Mosaic Virus, CH2 strain, mild isolate Abp2","Pepino Mosaic Virus, CH2 strain, mild isolate Abp2",,False
"Pepino Mosaic Virus, EU strain, mild isolate Abp1","Pepino Mosaic Virus, EU strain, mild isolate Abp1",,False
Pepino mosaic virus strain CH2 isolate 1906,Pepino mosaic virus strain CH2 isolate 1906,No CAS allocated,True
Pepper  (++),Pepper,,False
Permethrin (sum of isomers) (F),Permethrin,52645-53-1,True
Pethoxamid,Pethoxamid,106700-29-2,True
Petroleum oils (CAS 92062-35-6),Petroleum oils,No CAS allocated,True
Phenmedipham,Phenmedipham,13684-63-4,True
Phenothrin (phenothrin including other mixtures of constituent isomers (sum of isomers)) (F),Phenothrin (phenothrin including other mixtures of constituent isomers (sum of isomers)),,False
Phenthoate,Phenthoate,2597-03-7,True
Phlebiopsis gigantea,Phlebiopsis gigantea,,False
"Phorate (sum of phorate, its oxygen analogue and their sulfones expressed as phorate)",Phorate,298-02-2,True
Phosalone,Phosalone,2310-17-0,True
Phosmet,Phosmet,732-11-6,True
Phosphamidon,Phosphamidon,13171-21-6,True
"Phosphane and phosphide salts (sum of phosphane and phosphane generators (relevant phosphide salts), determined and expressed as phosphane)","Phosphane and phosphide salts (sum of phosphane and phosphane generators (relevant phosphide salts), determined and expressed as phosphane)",,False
Phosphonic acid and its salts expressed as phosphonic acid (R),Phosphonic acid and its salts expressed as phosphonic acid,,False
Phoxim  (F),Phoxim,14816-18-3,True
"Picloram, free and conjugated, expressed as picloram (R)","Picloram, free and conjugated, expressed as picloram",,False
Picolinafen,Picolinafen,137641-05-5,True
Picoxystrobin  (F),Picoxystrobin,117428-22-5,True
Pirimicarb  (R),Pirimicarb,23103-98-2,True
Pirimiphos-methyl  (F),Pirimiphos-methyl,29232-93-7,True
Plant oils / Citronella oil,Plant oils / Citronella oil,No CAS allocated,True
Plant oils / Citronellol  (++),Plant oils / Citronellol,,False
Plant oils / Clove oil Eugenol  (++),Plant oils / Clove oil Eugenol,,False
Plant oils / Rapeseed oil  (++),Plant oils / Rapeseed oil,,False
Plant oils / Spearmint oil  (++),Plant oils / Spearmint oil,,False
Potassium Iodide  (++),Potassium iodide,7681-11-0,True
Potassium Thiocyanate,Potassium thiocyanate,333-20-0,True
Potassium hydrogen carbonate,Potassium hydrogen carbonate,298-14-6,True
Potassium permanganate,Potassium permanganate,7722-64-7,True
Potassium sorbate,Potassium sorbate,24634-61-5,True
Potassium tri-iodide,Potassium tri-iodide,No CAS allocated,True
"Prochloraz (sum of prochloraz, BTS 44595 (M201-04) and BTS 44596 (M201-03), expressed as prochloraz) (F)","Prochloraz (sum of prochloraz, BTS 44595 (M201-04) and BTS 44596 (M201-03), expressed as prochloraz)",,False
Procymidone  (R),Procymidone,32809-16-8,True
Profenofos  (F),Profenofos,41198-08-7,True
Profoxydim,Profoxydim,139001-49-3,True
Prohexadione (prohexadione (acid) and its salts expressed as prohexadione-calcium),Prohexadione (prohexadione (acid) and its salts expressed as prohexadione-calcium),,False
"Propachlor: oxalinic derivate of propachlor, expressed as propachlor","Propachlor: oxalinic derivate of propachlor, expressed as propachlor",,False
"Propamocarb (Sum of propamocarb and its salts, expressed as propamocarb) (R)",Propamocarb,24579-73-5,True
Propanil,Propanil,709-98-8,True
Propargite  (F),Propargite,2312-35-8,True
Propham,Propham,122-42-9,True
Propiconazole (sum of isomers) (F),Propiconazole,60207-90-1,True
Propineb (expressed as propilendiamine),Propineb,9016-72-2,True
Propisochlor,Propisochlor,,False
Propoxur,Propoxur,114-26-1,True
"Propoxycarbazone (propoxycarbazone, its salts and 2-hydroxypropoxycarbazone expressed as propoxycarbazone) (A)",Propoxycarbazone,145026-81-9,True
Propyzamide (R)(F),Propyzamide,23950-58-5,True
Proquinazid (R)(F),Proquinazid,189278-12-4,True
Prosulfocarb,Prosulfocarb,52888-80-9,True
Prosulfuron,Prosulfuron,94125-34-5,True
Prothioconazole: prothioconazole-desthio (sum of isomers) (F),Prothioconazole: prothioconazole-desthio,,False
Pseudomonas chlororaphis strain MA342,Pseudomonas chlororaphis strain MA342,No CAS allocated,True
Pseudomonas sp. Strain DSMZ 13134,Pseudomonas sp. Strain DSMZ 13134,No CAS allocated,True
Purpureocillium lilacinum PL11,Purpureocillium lilacinum PL11,,False
Purpureocillium lilacinum strain 251 (former Paecilomyces lilacinus strain 251),Purpureocillium lilacinum strain 251 (former Paecilomyces lilacinus strain 251),No CAS allocated,True
Pymetrozine  (R),Pymetrozine,123312-89-0,True
Pyraclostrobin  (F),Pyraclostrobin,175013-18-0,True
"Pyraflufen-ethyl (Sum of pyraflufen-ethyl and pyraflufen, expressed as pyraflufen-ethyl)",Pyraflufen-ethyl,129630-19-9,True
Pyrasulfotole,Pyrasulfotole,365400-11-9,True
Pyrazophos  (F),Pyrazophos,13457-18-6,True
Pyrethrins,Pyrethrins,8003-34-7,True
Pyridaben  (F),Pyridaben,96489-71-3,True
Pyridalyl,Pyridalyl,179101-81-6,True
"Pyridate (sum of pyridate, its hydrolysis product CL 9673 (6-chloro-4-hydroxy-3-phenylpyridazin) and hydrolysable conjugates of CL 9673 expressed as pyridate)","Pyridate (sum of pyridate, its hydrolysis product CL 9673 (6-chloro-4-hydroxy-3-phenylpyridazin) and hydrolysable conjugates of CL 9673 expressed as pyridate)",,False
Pyrimethanil (R),Pyrimethanil,53112-28-0,True
Pyriofenone,Pyriofenone,688046-61-9,True
Pyriproxyfen  (F),Pyriproxyfen,95737-68-1,True
Pyroxsulam,Pyroxsulam,422556-08-9,True
Pythium oligandrum strain M1,Pythium oligandrum strain M1,No CAS allocated,True
Quartz sand,Quartz sand,No CAS allocated,True
Quinalphos  (F),Quinalphos,13593-03-8,True
Quinclorac,Quinclorac,84087-01-4,True
Quinmerac (sum of quinmerac and its metabolites BH 518-2 and BH 518-4 expressed as quinmerac) (R),Quinmerac,90717-03-6,True
Quinoclamine,Quinoclamine,2797-51-5,True
Quinoxyfen  (F),Quinoxyfen,124495-18-7,True
Quintozene (sum of quintozene and pentachloro-aniline expressed as quintozene) (F),Quintozene,82-68-8,True
"Quizalofop (sum of quizalofop, its salts, its esters (including propaquizafop) and its conjugates, expressed as quizalofop (any ratio of constituent isomers))","Quizalofop (sum of quizalofop, its salts, its esters (including propaquizafop) and its conjugates, expressed as quizalofop (any ratio of constituent isomers))",,False
Repellants: Blood meal,Repellants: Blood meal,,False
Repellants: Fish oil,Repellants: Fish oil,,False
Repellants: Sheep fat,Repellants: Sheep fat,,False
Repellants: Tall oil,Repellants: Tall oil,,False
Rescalure,Rescalure,67601-06-3,True
Resmethrin (resmethrin including other mixtures of consituent isomers (sum of isomers)) (F),Resmethrin (resmethrin including other mixtures of consituent isomers (sum of isomers)),,False
Rimsulfuron,Rimsulfuron,,False
Rotenone,Rotenone,83-79-4,True
S-abscisic acid,S-abscisic acid,21293-29-8,True
Saccharomyces cerevisiae strain LAS02,Saccharomyces cerevisiae strain LAS02,No CAS allocated,True
"Saflufenacil (sum of saflufenacil, M800H11 and M800H35, expressed as saflufenacil) (R)",Saflufenacil,372137-35-4,True
Salix spp. cortex,Salix spp. cortex,No CAS allocated,True
Seaweed extracts  (++),Seaweed extracts,,False
Sedaxane (sum of isomers),Sedaxane,874967-67-6,True
Silthiofam,Silthiofam,175217-20-6,True
Simazine,Simazine,122-34-9,True
Sintofen,Sintofen,,False
"Sodium 5-nitroguaiacolate, sodium o-nitrophenolate and sodium p-nitrophenolate (Sum of sodium 5-nitroguaiacolate, sodium o-nitrophenolate and sodium p-nitrophenolate, expressed as sodium 5-nitroguaiacolate)","Sodium 5-nitroguaiacolate, sodium o-nitrophenolate and sodium p-nitrophenolate",,False
Sodium aluminium silicate,Sodium aluminium silicate,12003-51-9,True
Sodium chloride,Sodium chloride,7647-14-5,True
Sodium hydrogen carbonate,Sodium hydrogen carbonate,,False
Sodium hypochlorite,Sodium hypochlorite,7681-52-9,True
Spinetoram (sum of spinetoram-J and spinetoram-L) (F)(A),Spinetoram,See note,True
"Spinosad (spinosad, sum of spinosyn A and spinosyn D) (F)",Spinosad,168316-95-8,True
Spirodiclofen  (F),Spirodiclofen,148477-71-8,True
Spiromesifen,Spiromesifen,283594-90-1,True
"Spirotetramat and spirotetramat-enol (sum of), expressed as spirotetramat (R)","Spirotetramat and spirotetramat-enol (sum of), expressed as spirotetramat",,False
Spiroxamine (sum of isomers) (R)(A),Spiroxamine,118134-30-8,True
Spodoptera exigua multicapsid nucleopolyhedrovirus (SeMNPV) isolate BV-0004,Spodoptera exigua multicapsid nucleopolyhedrovirus (SeMNPV) isolate BV-0004,,False
Spodoptera exigua nuclear polyhedrosis virus,Spodoptera exigua nuclear polyhedrosis virus,No CAS allocated,True
Spodoptera littoralis nucleopolyhedrovirus,Spodoptera littoralis nucleopolyhedrovirus,,False
Straight Chain Lepidopteran Pheromones (SCLP),Straight Chain Lepidopteran Pheromones,,False
Streptomyces K61 (formerly S.griseoviridis),Streptomyces K61,,False
Streptomycin,Streptomycin,57-92-1,True
Sucrose,Sucrose,57-50-1,True
Sulcotrione  (R),Sulcotrione,99105-77-8,True
Sulfosulfuron,Sulfosulfuron,141776-32-1,True
Sulfoxaflor (sum of isomers),Sulfoxaflor,946578-00-3,True
Sulfuryl fluoride,Sulfuryl fluoride,2699-79-8,True
Sulphur,Sulphur,No CAS allocated,True
Sulphuric acid,Sulphuric acid,7664-93-9,True
"Sum of M4 and M6 (both free and conjugated), expressed as pinoxaden (R)(A)","Sum of M4 and M6 (both free and conjugated), expressed as pinoxaden",,False
"Sum of diclofop-methyl, diclofop acid and its salts, expressed as diclofop-methyl (sum of isomers)","Sum of diclofop-methyl, diclofop acid and its salts, expressed as diclofop-methyl",,False
"Sum of metobromuron and 4-bromophenylurea, expressed as metobromuron","Sum of metobromuron and 4-bromophenylurea, expressed as metobromuron",,False
Sunflower oil,Sunflower oil,No CAS allocated,True
TEPP,TEPP,,False
Talc E553B,Talc E553B,14807-96-6,True
Tebuconazole  (R),Tebuconazole,107534-96-3,True
Tebufenozide  (F),Tebufenozide,112410-23-8,True
Tebufenpyrad  (F),Tebufenpyrad,119168-77-3,True
Tecnazene  (F),Tecnazene,117-18-0,True
Teflubenzuron  (F),Teflubenzuron,Teflubenzuron,True
Tefluthrin (tefluthrin including other mixtures of constituent isomers (sum of isomers)) (F),Tefluthrin (tefluthrin including other mixtures of constituent isomers (sum of isomers)),,False
"Tembotrione (Sum of parent tembotrione (AE 0172747) and its metabolite M5 (4,6-dihydroxy tembotrione), expressed as tembotrione) (R)","Tembotrione (Sum of parent tembotrione (AE 0172747) and its metabolite M5 (4,6-dihydroxy tembotrione), expressed as tembotrione)",,False
"Tepraloxydim (sum of tepraloxydim and its metabolites that can be hydrolysed either to the moiety 3-(tetrahydro-pyran-4-yl)-glutaric acid or to the moiety 3-hydroxy-(tetrahydro-pyran-4-yl)-glutaric acid, expressed as tepraloxydim)","Tepraloxydim (sum of tepraloxydim and its metabolites that can be hydrolysed either to the moiety 3-(tetrahydro-pyran-4-yl)-glutaric acid or to the moiety 3-hydroxy-(tetrahydro-pyran-4-yl)-glutaric acid, expressed as tepraloxydim)",,False
Terbufos,Terbufos,13071-79-9,True
Terbuthylazine (R)(F),Terbuthylazine,5915-41-3,True
Terpenoid blend QRD 460,Terpenoid blend QRD 460,,False
Tetraconazole (sum of constituent isomers) (F),Tetraconazole,112281-77-3,True
Tetradifon,Tetradifon,116-29-0,True
Thiabendazole (R),Thiabendazole,148-79-8,True
Thiacloprid,Thiacloprid,111988-49-9,True
Thiamethoxam,Thiamethoxam,153719-23-4,True
Thiencarbazone-methyl,Thiencarbazone-methyl,317815-83-1,True
Thifensulfuron-methyl,Thifensulfuron-methyl,79277-27-3,True
Thiobencarb (4-chlorobenzyl methyl sulfone) (A),Thiobencarb,28249-77-6,True
Thiodicarb,Thiodicarb,59669-26-0,True
Thiophanate-methyl  (R),Thiophanate-methyl,23564-05-8,True
Thiram (expressed as thiram),Thiram,137-26-8,True
Thymol  (++)(+),Thymol,89-83-8,True
Tolclofos-methyl  (F),Tolclofos-methyl,57018-04-9,True
Tolylfluanid (Sum of tolylfluanid and dimethylaminosulfotoluidide expressed as tolylfluanid) (R)(F),Tolylfluanid,731-27-1,True
Topramezone (BAS 670H),Topramezone,210631-68-8,True
Tralkoxydim (sum of the constituent isomers of tralkoxydim),Tralkoxydim,87820-88-0,True
Tri-allate,Tri-allate,2303-17-5,True
Triadimefon  (F),Triadimefon,43121-43-3,True
Triadimenol (any ratio of constituent isomers),Triadimenol,55219-65-3,True
Triasulfuron,Triasulfuron,82097-50-5,True
Triazophos  (F),Triazophos,24017-47-8,True
Triazoxide,Triazoxide,72459-58-6,True
Tribenuron-methyl,Tribenuron-methyl,,False
Trichlorfon,Trichlorfon,52-68-6,True
Trichoderma afroharzianum (Formerly Trichoderma harzianum) strain T-22,Trichoderma afroharzianum (Formerly Trichoderma harzianum) strain T-22,,False
"Trichoderma asperellum (formerly T. harzianum) strains ICC012, T25 and TV1","Trichoderma asperellum (formerly T. harzianum) strains ICC012, T25 and TV1",,False
Trichoderma asperellum (strain T34),Trichoderma asperellum,,False
Trichoderma atroviride (formerly T. harzianum) strains IMI 206040 and T11,Trichoderma atroviride (formerly T. harzianum) strains IMI 206040 and T11,,False
Trichoderma atroviride strain AGR2,Trichoderma atroviride strain AGR2,,False
Trichoderma atroviride strain AT10,Trichoderma atroviride strain AT10,,False
Trichoderma atroviride strain I-1237,Trichoderma atroviride strain I-1237,No CAS allocated,True
Trichoderma atroviride strain SC1,Trichoderma atroviride strain SC1,No CAS allocated,True
Trichoderma gamsii (formerly T. viride) strain ICC080,Trichoderma gamsii (formerly T. viride) strain ICC080,No CAS allocated,True
Trichoderma polysporum strain IMI 206039,Trichoderma polysporum strain IMI 206039,No CAS allocated,True
Triclopyr,Triclopyr,55335-06-3,True
Tricyclazole,Tricyclazole,41814-78-2,True
Tridemorph  (F),Tridemorph,24602-86-6,True
Trifloxystrobin (R)(F),Trifloxystrobin,141517-21-7,True
Triflumezopyrim,Triflumezopyrim,1263133-33-0,True
"Triflumizole: Triflumizole and metabolite FM-6-1(N-(4-chloro-2-trifluoromethylphenyl)-n-propoxyacetamidine), expressed as Triflumizole (R)(F)","Triflumizole: Triflumizole and metabolite FM-6-1(N-(4-chloro-2-trifluoromethylphenyl)-n-propoxyacetamidine), expressed as Triflumizole",,False
Triflumuron  (F),Triflumuron,64628-44-0,True
Trifluralin,Trifluralin,1582-09-8,True
"Triflusulfuron (6-(2,2,2-trifluoroethoxy)-1,3,5-triazine-2,4-diamine (IN-M7222))","Triflusulfuron (6-(2,2,2-trifluoroethoxy)-1,3,5-triazine-2,4-diamine (IN-M7222))",,False
Triforine,Triforine,26644-46-2,True
"Trimethyl-sulfonium cation, resulting from the use of glyphosate  (F)","Trimethyl-sulfonium cation, resulting from the use of glyphosate",,False
Trimethylamine hydrochloride  (++),Trimethylamine hydrochloride,593-81-7,True
"Trinexapac (sum of trinexapac (acid) and its salts, expressed as trinexapac)","Trinexapac (sum of trinexapac (acid) and its salts, expressed as trinexapac)",,False
Triticonazole,Triticonazole,131983-72-7,True
Tritosulfuron,Tritosulfuron,142469-14-5,True
Urea,Urea,57-13-6,True
Urtica spp.,Urtica spp.,No CAS allocated,True
Valifenalate (R)(A),Valifenalate,,False
Verticillium albo-atrum isolate WCS850,Verticillium albo-atrum isolate WCS850,,False
Vinclozolin,Vinclozolin,50471-44-8,True
Vinegar,Vinegar,64-19-7,True
Warfarin,Warfarin,,False
Whey,Whey,No CAS allocated,True
"Z,Z,Z,Z-7,13,16,19-docosatetraen-1-yl isobutyrate (F)","Z,Z,Z,Z-7,13,16,19-docosatetraen-1-yl isobutyrate",,False
Z-13-hexadecen-11-yn-1-yl acetate (F),Z-13-hexadecen-11-yn-1-yl acetate,,False
Ziram,Ziram,137-30-4,True
Zoxamide (sum of constituent isomers),Zoxamide,156052-68-5,True
"Zucchini Yellow Mosaik Virus, weak strain","Zucchini Yellow Mosaik Virus, weak strain",,False
mustard seeds powder,Mustard seeds powder,No CAS allocated,True
